variable,coef,std_err,t,p_value,ci_low,ci_high,coef_HC3,std_err_HC3,t_HC3,p_value_HC3,ci_low_HC3,ci_high_HC3
const,0.3534873412745307,0.0472706089401805,7.477951928265997,1.1277091279511326e-13,0.2607819804664628,0.4461927020825986,0.3534873412745307,0.05425316432564514,6.515515650898898,9.161635854101348e-11,0.24708805244469811,0.45988663010436326
racepctblack,0.16945181770614587,0.022864618785327563,7.411093064664811,1.8456037320730467e-13,0.124610577414211,0.21429305799808074,0.16945181770614587,0.029215139145443072,5.800137280283215,7.695483490766839e-09,0.11215617298611263,0.2267474624261791
agePct12t29,-0.09172551352383916,0.024380119829996903,-3.7623077393976376,0.00017324764477272525,-0.1395388981206817,-0.04391212892699661,-0.09172551352383916,0.02256304743924642,-4.06529808399422,4.9847397771090384e-05,-0.1359753233037786,-0.04747570374389972
pctUrban,0.03777387596412375,0.007481577830484881,5.048918399299152,4.85021170679211e-07,0.02310128367603942,0.052446468252208084,0.03777387596412375,0.007992962428035093,4.725891846011053,2.452354855259884e-06,0.02209837521578297,0.05344937671246453
OtherPerCap,0.04815391764794298,0.017068433925655144,2.8212264732480237,0.004831753709043231,0.01467993960994217,0.0816278956859438,0.04815391764794298,0.016375851842491383,2.9405442911369772,0.0033143535959242864,0.01603820584235205,0.08026962945353391
MalePctDivorce,0.10965988813719252,0.028234812226394245,3.8838539905245457,0.0001061885076216992,0.05428682412381553,0.1650329521505695,0.10965988813719252,0.03055790792993359,3.5885927920403558,0.0003405483445868955,0.04973085519900597,0.16958892107537907
PctKids2Par,-0.2952985470499171,0.04441176287813063,-6.649106631057171,3.8018998793735256e-11,-0.3823972452484035,-0.20819984885143067,-0.2952985470499171,0.048545356668349936,-6.082941136210511,1.4125528988031618e-09,-0.39050389570939514,-0.20009319839043901
PctWorkMom,-0.0793538113394392,0.019765067023548927,-4.014851619015192,6.170059400886935e-05,-0.11811632595253635,-0.040591296726342034,-0.0793538113394392,0.0200168943208801,-3.964341823829451,7.621208401158914e-05,-0.1186102002855273,-0.040097422393351095
PctIlleg,0.21677340922995178,0.03718252271960107,5.829981221679666,6.457379406332112e-09,0.14385242805882076,0.2896943904010828,0.21677340922995178,0.045847874095342876,4.728101651543558,2.4261167878480773e-06,0.1268582631045801,0.30668855535532347
PctPersDenseHous,0.19410515892745872,0.01925464727828976,10.0809511658164,2.426791718362318e-23,0.15634366054217647,0.23186665731274098,0.19410515892745872,0.02332614106074364,8.321357502811509,1.5984389126403757e-16,0.1483587983076357,0.23985151954728173
HousVacant,0.11128116856430341,0.029329877939049315,3.794123139399278,0.00015261449635027964,0.05376050238805391,0.1688018347405529,0.11128116856430341,0.03812933615711532,2.9185183845257483,0.003556669584297393,0.03650333208052428,0.18605900504808254
PctHousOccup,-0.06367886501425017,0.019725030482703475,-3.2283278380780716,0.001265526117990462,-0.1023628614519356,-0.024994868576564744,-0.06367886501425017,0.02093504052512858,-3.041735932529754,0.0023830565700314527,-0.10473588816090731,-0.022621841867593036
MedOwnCostPctIncNoMtg,-0.05784296832013683,0.017536453788075695,-3.2984415788480823,0.0009894543525701383,-0.0922348095120891,-0.02345112712818457,-0.05784296832013683,0.016448433302488137,-3.516624790726238,0.00044691299785044745,-0.09010102418661114,-0.02558491245366252
NumStreet,0.18082263430805215,0.039152251426682966,4.61844792365678,4.1147478573016005e-06,0.10403869442794583,0.25760657418815847,0.18082263430805215,0.05386926158214071,3.356694133115801,0.0008037202134971916,0.07517624126589229,0.286469027350212
